Away Team, Home Team, Date, Spread (Relative to Away), Result (Relative to Away), Season, Away Points, Home Points, Over/Under,HomeWin,HomeMargin,HomeRest,AwayRest
Utah,Golden State,10/30/2007,1.5,W,2008,117,96,212.0,0,-21,0,0
Houston,L.A. Lakers,10/30/2007,-5.5,L,2008,95,93,196.5,0,-2,5,5
Portland,San Antonio,10/30/2007,13.0,W,2008,97,106,190.0,1,9,5,5
Washington,Indiana,10/31/2007,-1.5,L,2008,110,119,203.5,1,9,5,5
Dallas,Cleveland,10/31/2007,-2.5,W,2008,92,74,184.0,0,-18,5,5
Chicago,New Jersey,10/31/2007,2.5,L,2008,103,112,187.0,1,9,5,5
Philadelphia,Toronto,10/31/2007,6.5,L,2008,97,106,191.0,1,9,5,5
San Antonio,Memphis,10/31/2007,-6.5,L,2008,104,101,201.0,0,-3,5,1
Milwaukee,Orlando,10/31/2007,7.0,L,2008,83,102,197.0,1,19,5,5
Sacramento,New Orleans,10/31/2007,9.0,L,2008,90,104,190.5,1,14,5,5
Oklahoma City,Denver,10/31/2007,11.0,L,2008,103,120,217.0,1,17,5,5
Houston,Utah,11/1/2007,3.5,W,2008,106,95,193.0,0,-11,2,2
Detroit,Miami,11/1/2007,-4.0,W,2008,91,80,180.0,0,-11,5,5
Phoenix,Oklahoma City,11/1/2007,-11.5,L,2008,106,99,223.0,0,-7,1,5
Golden State,L.A. Clippers,11/2/2007,2.0,L,2008,114,120,209.5,1,6,5,3
Toronto,New Jersey,11/2/2007,3.0,W,2008,106,69,193.5,0,-37,2,2
Detroit,Orlando,11/2/2007,3.5,W,2008,116,92,185.0,0,-24,2,1
Milwaukee,Charlotte,11/2/2007,3.5,W,2008,99,102,196.5,1,3,5,2
New York,Cleveland,11/2/2007,5.0,W,2008,106,110,186.5,1,4,2,5
Dallas,Atlanta,11/2/2007,-5.5,L,2008,94,101,191.0,1,7,5,2
Miami,Indiana,11/2/2007,6.0,W,2008,85,87,192.5,1,2,2,1
Washington,Boston,11/2/2007,7.0,L,2008,83,103,204.5,1,20,5,2
