Away Team, Home Team, Date, Spread (Relative to Away), Result (Relative to Away), Season, Away Points, Home Points, Over/Under
Utah,Golden State,10/30/2007,1.5,W,2008,117,96,212
Houston,L.A. Lakers,10/30/2007,-5.5,L,2008,95,93,196.5
Portland,San Antonio,10/30/2007,13,W,2008,97,106,190
Washington,Indiana,10/31/2007,-1.5,L,2008,110,119,203.5
Dallas,Cleveland,10/31/2007,-2.5,W,2008,92,74,184
Chicago,New Jersey,10/31/2007,2.5,L,2008,103,112,187
Philadelphia,Toronto,10/31/2007,6.5,L,2008,97,106,191
San Antonio,Memphis,10/31/2007,-6.5,L,2008,104,101,201
Milwaukee,Orlando,10/31/2007,7,L,2008,83,102,197
Sacramento,New Orleans,10/31/2007,9,L,2008,90,104,190.5
Oklahoma City,Denver,10/31/2007,11,L,2008,103,120,217
Houston,Utah,11/1/2007,3.5,W,2008,106,95,193
Detroit,Miami,11/1/2007,-4,W,2008,91,80,180
Phoenix,Oklahoma City,11/1/2007,-11.5,L,2008,106,99,223
Golden State,L.A. Clippers,11/2/2007,2,L,2008,114,120,209.5
Toronto,New Jersey,11/2/2007,3,W,2008,106,69,193.5
Detroit,Orlando,11/2/2007,3.5,W,2008,116,92,185
Milwaukee,Charlotte,11/2/2007,3.5,W,2008,99,102,196.5
New York,Cleveland,11/2/2007,5,W,2008,106,110,186.5
Dallas,Atlanta,11/2/2007,-5.5,L,2008,94,101,191
Miami,Indiana,11/2/2007,6,W,2008,85,87,192.5
Washington,Boston,11/2/2007,7,L,2008,83,103,204.5
Portland,New Orleans,11/2/2007,7.5,L,2008,93,113,202.5
L.A. Lakers,Phoenix,11/2/2007,8,W,2008,119,98,215.5
Denver,Minnesota,11/2/2007,-8.5,L,2008,99,91,208
Philadelphia,Chicago,11/2/2007,9,W,2008,96,85,189.5
Sacramento,San Antonio,11/2/2007,14.5,L,2008,80,96,191
Orlando,Washington,11/3/2007,1.5,W,2008,94,82,198
Brooklyn,Philadelphia,11/3/2007,-2.5,W,2008,93,88,186.5
Chicago,Milwaukee,11/3/2007,-4,L,2008,72,78,193
Indiana,Memphis,11/3/2007,5,W,2008,121,111,211.5
Golden State,Utah,11/3/2007,9.5,L,2008,110,133,215
