,Initialization,2008-50%
Utah,1.5865165911883878,5.6177240254766865
Golden State,-0.32194855967850217,1.5804666947556487
Houston,0.9066490635611248,2.6969267688098952
L.A. Lakers,0.6929879908680201,5.861643543348166
Portland,0.5659474335777762,1.4238278788977412
San Antonio,-0.021328524851119024,4.908859782378975
Washington,-0.005647155438005464,1.0409333902684996
Indiana,0.5040748150640045,-1.7965627417804406
Dallas,1.5281045428517919,5.07354511384425
Cleveland,-1.5734326047758125,-0.5684801829351106
Chicago,-0.185207968733053,-2.967714884783778
Brooklyn,-0.06899892227704482,-7.010655261788734
Philadelphia,-2.489585694936349,-2.6245418474205944
Toronto,0.8883904951810522,3.2243761007517846
Memphis,-0.6452797188680223,-3.5482127272715767
Milwaukee,0.22089327456591995,-5.810704286395235
Orlando,-0.8448937024352035,3.1735997045192277
Sacramento,0.06009956693451399,-2.3153634062585575
New Orleans,-0.4348060137998578,6.090141986553301
Oklahoma City,-1.5900567862216006,-7.676048253970541
Denver,0.12064647708245275,1.963904134952655
Detroit,-1.4526539497085558,7.073975587877456
Miami,-1.4674276098917458,-6.549120998932891
Phoenix,0.38840141440017356,4.387725387110531
L.A. Clippers,-1.1089271124509206,-4.41638247494673
Charlotte,-0.10120765682623344,-3.6483039294145545
New York,0.12870075279760623,-5.934904683261778
Atlanta,-1.5921292516100198,-1.1620930705909667
Boston,-0.20142731599051172,9.845932141444502
Minnesota,-0.37278354205555475,-7.923596555179497
